CO,dew,H,NO2,O3,Pressure,pm10,pm25,SO2,Temp,W,WG,Time

28,97,1001,122,28.5,1.5,12.8,2023-07-06 07:00:00

28,97,1001,122,28.5,1.5,12.8,2023-07-06 07:00:00

28,97,1001,122,28.5,1.5,12.8,2023-07-06 07:00:00

28,97,1001,122,28.5,1.5,12.8,2023-07-06 07:00:00

28,97,1001,122,28.5,1.5,12.8,2023-07-06 07:00:00

28,89,1002,129,30,0.7,12.8,2023-07-06 08:00:00

28,89,1002,129,30,0.7,12.8,2023-07-06 08:00:00

26,100,1003,30,26,4.1,9.2,2023-07-06 10:00:00

26,100,1003,30,26,4.1,9.2,2023-07-06 10:00:00

26,100,1003,30,26,4.1,9.2,2023-07-06 10:00:00

26,100,1003,30,26,4.1,9.2,2023-07-06 10:00:00

26,100,1003,30,26,4.1,9.2,2023-07-06 10:00:00

26,100,1003,30,26,4.1,9.2,2023-07-06 10:00:00

26,100,1003,30,26,4.1,9.2,2023-07-06 10:00:00

27,94,1003,55,28,3.6,9.2,2023-07-06 12:00:00

26,88,1002,53,28,2.5,7.7,2023-07-06 13:00:00

26,88,1002,53,28,2.5,7.7,2023-07-06 13:00:00

26,88,1002,53,28,2.5,7.7,2023-07-06 13:00:00

26,88,1002,53,28,2.5,7.7,2023-07-06 13:00:00

26,88,1002,53,28,2.5,7.7,2023-07-06 13:00:00

26,88,1002,53,28,2.5,7.7,2023-07-06 13:00:00

26,88,1002,53,28,2.5,7.7,2023-07-06 13:00:00

26,83,1002,30,29,5.4,7.7,2023-07-06 14:00:00

27,88,1001,21,29,2.5,7.7,2023-07-06 18:00:00

27,88,1001,42,29,2.5,7.7,2023-07-06 19:00:00

27,88,1001,42,29,2.5,7.7,2023-07-06 19:00:00

27,88,1001,42,29,2.5,7.7,2023-07-06 19:00:00

